code,system
J670000,readv2
J670900,readv2
J670700,readv2
J670200,readv2
J670600,readv2
J670300,readv2
J670z00,readv2
J670.00,readv2
J670400,readv2
J670100,readv2
K85,readv2
J670z11,readv2
D201612,readv2
A785100,readv2
A723.00,readv2
1113.0,readv2
104611.0,readv2
14905.0,readv2
18544.0,readv2
105910.0,readv2
105066.0,readv2
24984.0,readv2
31395.0,readv2
42278.0,readv2
12316.0,readv2
49499.0,readv2
48685.0,readv2
1506.0,readv2
104385.0,readv2
44278.0,readv2
49353.0,readv2
44571.0,readv2
61326.0,readv2
656.0,readv2
4650.0,readv2
1419.0,readv2
105194.0,readv2
14CG.00,readv2
14CH.00,readv2
71633.0,readv2
32954.0,readv2
J670800,readv2
J671000,readv2
K86.0,readv2
J671100,readv2
J670500,readv2
J672100,readv2
K86.3,readv2
Jyu8400,readv2
J670y00,readv2
K86.1,readv2
J671.00,readv2